Variable;lbl;lbl2
P13_POP;Population en 2013 ;P13_POP : Population en 2013 
P13_POP0002;Pop 0-2 ans en 2013 ;P13_POP0002 : Pop 0-2 ans en 2013 
P13_POP0305;Pop 3-5 ans en 2013 ;P13_POP0305 : Pop 3-5 ans en 2013 
P13_POP0610;Pop 6-10 ans en 2013 ;P13_POP0610 : Pop 6-10 ans en 2013 
P13_POP1117;Pop 11-17 ans en 2013 ;P13_POP1117 : Pop 11-17 ans en 2013 
P13_POP1824;Pop 18-24 ans en 2013 ;P13_POP1824 : Pop 18-24 ans en 2013 
P13_POP2539;Pop 25-39 ans en 2013 ;P13_POP2539 : Pop 25-39 ans en 2013 
P13_POP4054;Pop 40-54 ans en 2013 ;P13_POP4054 : Pop 40-54 ans en 2013 
P13_POP5564;Pop 55-64 ans en 2013 ;P13_POP5564 : Pop 55-64 ans en 2013 
P13_POP6579;Pop 65-79 ans en 2013 ;P13_POP6579 : Pop 65-79 ans en 2013 
P13_POP80P;Pop 80 ans ou plus en 2013 ;P13_POP80P : Pop 80 ans ou plus en 2013 
P13_POP0014;Pop 0-14 ans en 2013 ;P13_POP0014 : Pop 0-14 ans en 2013 
P13_POP1529;Pop 15-29 ans en 2013 ;P13_POP1529 : Pop 15-29 ans en 2013 
P13_POP3044;Pop 30-44 ans en 2013 ;P13_POP3044 : Pop 30-44 ans en 2013 
P13_POP4559;Pop 45-59 ans en 2013 ;P13_POP4559 : Pop 45-59 ans en 2013 
P13_POP6074;Pop 60-74 ans en 2013 ;P13_POP6074 : Pop 60-74 ans en 2013 
P13_POP75P;Pop 75 ans ou plus en 2013 ;P13_POP75P : Pop 75 ans ou plus en 2013 
P13_POP0019;Pop 0-19 ans en 2013 ;P13_POP0019 : Pop 0-19 ans en 2013 
P13_POP2064;Pop 20-64 ans en 2013 ;P13_POP2064 : Pop 20-64 ans en 2013 
P13_POP65P;Pop 65 ans ou plus en 2013 ;P13_POP65P : Pop 65 ans ou plus en 2013 
P13_POPH;Pop Hommes en 2013 ;P13_POPH : Pop Hommes en 2013 
P13_H0014;Pop Hommes 0-14 ans en 2013 ;P13_H0014 : Pop Hommes 0-14 ans en 2013 
P13_H1529;Pop Hommes 15-29 ans en 2013 ;P13_H1529 : Pop Hommes 15-29 ans en 2013 
P13_H3044;Pop Hommes 30-44 ans en 2013 ;P13_H3044 : Pop Hommes 30-44 ans en 2013 
P13_H4559;Pop Hommes 45-59 ans en 2013 ;P13_H4559 : Pop Hommes 45-59 ans en 2013 
P13_H6074;Pop Hommes 60-74 ans en 2013 ;P13_H6074 : Pop Hommes 60-74 ans en 2013 
P13_H75P;Pop Hommes 75 ans ou plus en 2013 ;P13_H75P : Pop Hommes 75 ans ou plus en 2013 
P13_H0019;Pop Hommes 0-19 ans en 2013 ;P13_H0019 : Pop Hommes 0-19 ans en 2013 
P13_H2064;Pop Hommes 20-64 ans en 2013 ;P13_H2064 : Pop Hommes 20-64 ans en 2013 
P13_H65P;Pop Hommes 65 ans ou plus en 2013 ;P13_H65P : Pop Hommes 65 ans ou plus en 2013 
P13_POPF;Pop Femmes en 2013 ;P13_POPF : Pop Femmes en 2013 
P13_F0014;Pop Femmes 0-14 ans en 2013 ;P13_F0014 : Pop Femmes 0-14 ans en 2013 
P13_F1529;Pop Femmes 15-29 ans en 2013 ;P13_F1529 : Pop Femmes 15-29 ans en 2013 
P13_F3044;Pop Femmes 30-44 ans en 2013 ;P13_F3044 : Pop Femmes 30-44 ans en 2013 
P13_F4559;Pop Femmes 45-59 ans en 2013 ;P13_F4559 : Pop Femmes 45-59 ans en 2013 
P13_F6074;Pop Femmes 60-74 ans en 2013 ;P13_F6074 : Pop Femmes 60-74 ans en 2013 
P13_F75P;Pop Femmes 75 ans ou plus en 2013 ;P13_F75P : Pop Femmes 75 ans ou plus en 2013 
P13_F0019;Pop Femmes 0-19 ans en 2013 ;P13_F0019 : Pop Femmes 0-19 ans en 2013 
P13_F2064;Pop Femmes 20-64 ans en 2013 ;P13_F2064 : Pop Femmes 20-64 ans en 2013 
P13_F65P;Pop Femmes 65 ans ou plus en 2013 ;P13_F65P : Pop Femmes 65 ans ou plus en 2013 
C13_POP15P;Pop 15 ans ou plus en 2013 ;C13_POP15P : Pop 15 ans ou plus en 2013 
C13_POP15P_CS1;Pop 15 ans ou plus Agriculteurs exploitants en 2013 ;C13_POP15P_CS1 : Pop 15 ans ou plus Agriculteurs exploitants en 2013 
C13_POP15P_CS2;Pop 15 ans ou plus Artisans, Comm., Chefs entr. en 2013 ;C13_POP15P_CS2 : Pop 15 ans ou plus Artisans, Comm., Chefs entr. en 2013 
C13_POP15P_CS3;Pop 15 ans ou plus Cadres, Prof. intel. sup. en 2013 ;C13_POP15P_CS3 : Pop 15 ans ou plus Cadres, Prof. intel. sup. en 2013 
